From_Halte;To_Halte;Jarak_km;Koridor
H06_01;H06_02;1.40;6
H06_02;H06_03;2.50;6
H06_03;H06_04;3.20;6
H06_04;H06_05;1.80;6
H06_05;H06_06;0.95;6
H06_06;H06_07;1.30;6
H06_07;H06_08;1.80;6
H06_08;H06_09;1.20;6
H06_09;H06_10;0.85;6
H06_10;H06_11;0.90;6
H06_11;H06_12;0.85;6
H06_12;H06_13;2.00;6
H06_13;H06_14;2.30;6
H06_14;H06_15;3.00;6
H06_15;H06_16;1.70;6
H06_16;H06_17;2.10;6
H06_17;H06_18;1.00;6
H06_18;H06_19;1.60;6
H06_19;H06_20;1.00;6
H06_20;H06_21;0.90;6
H06_21;H06_22;1.50;6
H06_22;H06_23;2.00;6
H06_23;H06_24;0.60;6
H06_24;H06_25;1.00;6
H06_25;H06_26;0.95;6
H06_26;H06_27;2.10;6
H06_27;H06_28;2.30;6
H06_28;H06_29;2.20;6
H06_29;H06_30;1.30;6
